StartDate,EndDate,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,FreeResponse,FreqCheckSee,FreqCheckWrite,KnewAllWords,AbilityChange,Engaging,GameChange,Age,Gender,NativeLang,SecondLangYN,SecondLang,subjCode
3/7/17 16:39,3/7/17 16:59,1199,TRUE,3/7/17 16:59,R_2dRC6AiO8Y6AZCx,anonymous,EN,"At first I failed the first few practice hunts, but as soon as I got all eight correct and entered the real thing I definitely got on a hot streak. 7204 pieces of treasure? The elves definitely have some band$ now.","At times if I got the same direction twice, it didn't help reinforce my knowledge of that direction and its word so much as it weakened my knowledge of other directions. For example, if I got ""frabda"" twice in a row, and the next direction was ""clate,"" I would hesitate to answer for ""clate"" just a little bit. So as long as the words kept changing I could maintain my focus better.","Sometimes I accidentally would type ""crate"" for ""clate"". Also during the practice hunts I mixed up ""blit"" and ""gled"" a few times, they were the final words that I mastered.",Definitely yes,Yes,Engaging,"Nothing comes to mind, I would definitely say that the game helped me learn the words and reinforce them in my mind. Two nice touches to the game that I liked were how after the practice hunts, the treasure that you have already collected remains in your score, in a way this encouraged me as the player because even when I failed the practice hunt, on the next practice hunt I looked up and saw that I still had treasure acquired from the last hunt so it made ""failing"" the previous hunt less discouraging. Also, another touch that I liked was how the compass didn't always match up perfectly to the directions shown in the practice hunt. I felt this helped me learn because instead of just associating the word with the static image it helped me imagine the direction better. All in all though I wouldn't change much.",19,Male,Yes,Yes,"I lived in China for a year my junior year of high school and it's the only language besides English that I'm fluent in. I studied Spanish and Japanese throughout high school as well, but I'm much more limited in those.",p101
3/8/17 10:06,3/8/17 10:10,254,TRUE,3/8/17 10:10,R_1gByiPBZ8mmXBwH,anonymous,EN,"It was difficult at first because the directions on the compass were not normal directions in the English language, so it was hard to associate the two languages for memory.",I feel like I saw the words I was taught in the middle of learning the compass a lot more often than others. I also noticed that the directions slightly varied over the course of the game.,"I noticed that when I typed the direction and the arrow was more in between or slightly off center from its normal direction, I earned less points.",Probably yes,Yes,Engaging,I would not make it last as long because I felt like I was able to master it and still had to repeat the directions for quite some time.,19,Female,Yes,No,,p102
3/13/17 8:37,3/13/17 8:41,238,TRUE,3/13/17 8:41,R_2WTpjPZBGRZLYQQ,anonymous,EN,"It was repetitive, but that is what helped me learn the words and directions faster.","I saw the direction changing throughout the game, so the arrow would be in between two directions.",The answer to the above question made me just pick one word if the arrow was in between two directions and I usually ended up picking a few words more often than others,Definitely yes,Yes,Somewhat boring,Maybe make it a little shorter since it requires doing the same thing over and over again which makes it very boring.,18,Female,Yes,Yes,Gujarati and Hindi,p103
3/13/17 9:19,3/13/17 9:22,154,TRUE,3/13/17 9:22,R_2v0mUNnZcldbrk2,anonymous,EN,It involved a fast learning process.,There were specific words that I was tested upon more frequently compared to other words.,Pim and frabda were both considered to be wrong at one point or another even though they were right.,Definitely yes,Yes,Engaging,Maybe add a map to show which direction the elves are going,18,Female,Yes,Yes,Spanish,p104
3/15/17 10:08,3/15/17 10:11,155,TRUE,3/15/17 10:11,R_306o7FXAJ1X41Tk,anonymous,EN,a bit confusing at first..,"the ones I kept getting wrong, appeared more ",,Probably yes,Yes,Very boring,"sound, made me a bit bad when I would get them wrong compared to the end were i learned them faster without the wrong/right sound ",18,Female,No,Yes,Spanish,p106
3/15/17 14:48,3/15/17 14:50,123,TRUE,3/15/17 14:50,R_2qpx1VubvEblbXG,anonymous,EN,It was difficult learning about the Elvish words in the beginning but each time it got easier.,I saw some words more than others. And some of the directions that the arrow was pointing to i did not learn or the arrow was in the middle of two words.,I typed more words than the others.,Definitely yes,Yes,Somewhat engagin,,18,Female,Yes,Yes,Hebrew,p107
3/16/17 9:02,3/16/17 9:06,254,TRUE,3/16/17 9:06,R_1i2ptPxdizaEi57,anonymous,EN,"At first it was hard becasue I was just relying off of them giving mem word coices. The, I started not looking at the words during practice and it made it easier to learn them. ",During training they would show a word more than one time in a row and then that word would stick better. ,"I gave myself real words that they sounded like to try and remember the elf words. As far as typing, I typed them faster after I knew them. ",Definitely yes,Yes,Neither boring nor engagin,The directions got so close and overlapping that I just started typing in the words that gave me more points rather than the word they had originally showed in that exact location. So unless that is part of the experiment I would change it so that the directions are more precise. ,20,Female,Yes,No,,p108
3/16/17 16:31,3/16/17 16:34,164,TRUE,3/16/17 16:34,R_1KfiFro6iTlJ7vB,anonymous,EN,frustrating; I had a lot of spelling mistakes,words I couldn't remember popped up a lot,"It seemed like I typed words that were closer to the ""east/west"" direction than north and south",Probably yes,Yes,Somewhat engagin,More animations or something that would make it more colorful and fun to watch,19,Female,Yes,No,,109
3/28/17 16:03,3/28/17 16:07,250,TRUE,3/28/17 16:07,R_3s5fEERCa5cPt3p,anonymous,EN,"Frustrating to say the least. It's hard to learn ""words"" that aren't commonly spoken in the English language and correlate them only to the direction of an arrow. It's possible just challenging.","I related the Elvish ""words"" to common words or actions in the English language. For example, Harp - Sarp.",I noticed I typed the words faster and more confidently with practice through the game.,Definitely yes,Yes,Engaging,Where the elf is positioned relative to the arrow?,18,Female,Yes,No,,p110
3/28/17 16:37,3/28/17 16:40,202,TRUE,3/28/17 16:40,R_1GBb5KNznS9RMWj,anonymous,EN,"Interesting. The Elvish directions were structured in a very non symmetrical fashion, so learning the directions was a bit more challenging. ","Some directions appeared to fit into multiple direction categories. For example, veek and minada were sometimes interchangeable. ","If I was between two directions, typically I chose to type the shortest of the two. ",Definitely yes,Yes,Somewhat engagin,Define boundaries for each direction so that during the real test there is no ambiguity for which direction is being displayed. ,nineteen,Male,Yes,No,,p111
